production_budget_usd,worldwide_gross_usd
"425,000,000.00","2,783,918,982.00"
"306,000,000.00","2,058,662,225.00"
"300,000,000.00","879,620,923.00"
"300,000,000.00","963,420,425.00"
"275,000,000.00","260,002,115.00"
"275,000,000.00","282,778,100.00"
"275,000,000.00","1,084,439,099.00"
"260,000,000.00","586,581,936.00"
"258,000,000.00","890,875,303.00"
"250,000,000.00","868,160,194.00"
"250,000,000.00","935,083,686.00"
"250,000,000.00","955,119,788.00"
"250,000,000.00","960,366,855.00"
"250,000,000.00","1,017,003,568.00"
"250,000,000.00","1,045,663,875.00"
"250,000,000.00","1,151,684,349.00"
"250,000,000.00","1,237,444,462.00"
"250,000,000.00","1,404,705,868.00"
"232,000,000.00","374,085,065.00"
"230,000,000.00","591,692,078.00"
"230,000,000.00","776,037,086.00"
"225,000,000.00","417,341,288.00"
"225,000,000.00","667,999,518.00"
"225,000,000.00","1,066,215,812.00"
"225,000,000.00","1,519,479,547.00"
"220,000,000.00","757,890,267.00"
"217,000,000.00","568,923,844.00"
"215,000,000.00","654,213,485.00"
"215,000,000.00","1,671,640,593.00"
"210,000,000.00","322,241,588.00"
"210,000,000.00","459,359,555.00"
"210,000,000.00","836,519,699.00"
"210,000,000.00","1,104,039,076.00"
"209,000,000.00","305,218,228.00"
"207,000,000.00","550,517,357.00"
"205,000,000.00","367,262,558.00"
"200,000,000.00","219,535,492.00"
"200,000,000.00","314,594,597.00"
"200,000,000.00","365,491,792.00"
"200,000,000.00","400,062,763.00"
"200,000,000.00","490,359,051.00"
"200,000,000.00","560,155,383.00"
"200,000,000.00","708,996,336.00"
"200,000,000.00","743,588,329.00"
"200,000,000.00","747,862,775.00"
"200,000,000.00","783,705,001.00"
"200,000,000.00","788,408,539.00"
"200,000,000.00","858,470,006.00"
"200,000,000.00","1,022,617,376.00"
"200,000,000.00","1,025,491,110.00"
"200,000,000.00","1,050,988,488.00"
"200,000,000.00","1,069,818,229.00"
"200,000,000.00","1,110,526,981.00"
"200,000,000.00","1,215,392,272.00"
"200,000,000.00","2,207,615,668.00"
"195,000,000.00","197,687,603.00"
"195,000,000.00","397,644,453.00"
"195,000,000.00","1,123,790,543.00"
"190,000,000.00","315,709,697.00"
"190,000,000.00","351,040,419.00"
"190,000,000.00","411,002,906.00"
"190,000,000.00","467,381,584.00"
"190,000,000.00","531,514,650.00"
"190,000,000.00","1,516,748,684.00"
"187,500,000.00","334,342,692.00"
"186,000,000.00","584,604,126.00"
"185,000,000.00","336,398,312.00"
"185,000,000.00","554,606,532.00"
"185,000,000.00","561,137,727.00"
"185,000,000.00","786,558,145.00"
"185,000,000.00","1,002,572,859.00"
"180,000,000.00","52,573,132.00"
"180,000,000.00","180,047,784.00"
"180,000,000.00","256,585,882.00"
"180,000,000.00","349,143,061.00"
"180,000,000.00","532,590,994.00"
"180,000,000.00","720,539,572.00"
"180,000,000.00","758,536,735.00"
"180,000,000.00","803,798,342.00"
"179,000,000.00","181,982,519.00"
"178,000,000.00","370,541,256.00"
"178,000,000.00","542,742,489.00"
"175,000,000.00","140,012,608.00"
"175,000,000.00","151,716,815.00"
"175,000,000.00","174,131,329.00"
"175,000,000.00","221,229,335.00"
"175,000,000.00","264,246,220.00"
"175,000,000.00","302,469,017.00"
"175,000,000.00","381,687,380.00"
"175,000,000.00","405,760,225.00"
"175,000,000.00","638,087,983.00"
"175,000,000.00","731,542,621.00"
"175,000,000.00","746,100,054.00"
"175,000,000.00","853,707,581.00"
"175,000,000.00","963,901,123.00"
"170,000,000.00","207,283,457.00"
"170,000,000.00","277,442,381.00"
"170,000,000.00","300,150,546.00"
"170,000,000.00","319,090,241.00"
"170,000,000.00","401,021,746.00"
"170,000,000.00","433,058,296.00"
"170,000,000.00","623,561,331.00"
"170,000,000.00","710,644,566.00"
"170,000,000.00","714,401,889.00"
"170,000,000.00","771,100,771.00"
"165,000,000.00","387,644,286.00"
"165,000,000.00","494,870,991.00"
"165,000,000.00","496,511,521.00"
"165,000,000.00","652,127,828.00"
"165,000,000.00","668,913,307.00"
"165,000,000.00","677,541,920.00"
"165,000,000.00","756,244,673.00"
"163,000,000.00","175,910,315.00"
"160,000,000.00","181,674,817.00"
"160,000,000.00","217,986,320.00"
"160,000,000.00","329,809,326.00"
"160,000,000.00","355,408,305.00"
"160,000,000.00","433,125,655.00"
"160,000,000.00","529,076,069.00"
"160,000,000.00","650,523,427.00"
"160,000,000.00","789,300,444.00"
"160,000,000.00","807,330,936.00"
"160,000,000.00","832,584,416.00"
"160,000,000.00","1,260,122,363.00"
"156,000,000.00","113,611,666.00"
"155,000,000.00","167,297,191.00"
"155,000,000.00","418,186,950.00"
"155,000,000.00","440,160,956.00"
"152,000,000.00","225,986,078.00"
"151,500,000.00","449,239,855.00"
"151,000,000.00","708,272,592.00"
"150,000,000.00","39,549,758.00"
"150,000,000.00","123,888,320.00"
"150,000,000.00","142,634,358.00"
"150,000,000.00","194,995,215.00"
"150,000,000.00","205,440,387.00"
"150,000,000.00","235,907,054.00"
"150,000,000.00","238,202,668.00"
"150,000,000.00","287,594,577.00"
"150,000,000.00","292,817,841.00"
"150,000,000.00","305,270,083.00"
"150,000,000.00","319,713,881.00"
"150,000,000.00","328,015,209.00"
"150,000,000.00","331,775,766.00"
"150,000,000.00","359,142,722.00"
"150,000,000.00","370,742,166.00"
"150,000,000.00","374,825,760.00"
"150,000,000.00","397,501,348.00"
"150,000,000.00","402,231,063.00"
"150,000,000.00","427,300,260.00"
"150,000,000.00","449,326,618.00"
"150,000,000.00","475,825,484.00"
"150,000,000.00","484,161,265.00"
"150,000,000.00","490,875,846.00"
"150,000,000.00","585,532,684.00"
"150,000,000.00","599,516,844.00"
"150,000,000.00","624,234,272.00"
"150,000,000.00","626,549,695.00"
"150,000,000.00","639,537,208.00"
"150,000,000.00","644,602,516.00"
"150,000,000.00","664,837,547.00"
"150,000,000.00","700,868,363.00"
"150,000,000.00","738,576,929.00"
"150,000,000.00","785,964,691.00"
"150,000,000.00","896,911,078.00"
"150,000,000.00","942,943,935.00"
"150,000,000.00","1,019,922,983.00"
"150,000,000.00","1,274,234,980.00"
"149,000,000.00","179,357,126.00"
"145,000,000.00","121,671,925.00"
"145,000,000.00","269,806,430.00"
"145,000,000.00","306,900,902.00"
"145,000,000.00","448,191,819.00"
"145,000,000.00","616,102,924.00"
"145,000,000.00","694,713,230.00"
"145,000,000.00","746,921,271.00"
"144,000,000.00","229,034,050.00"
"142,000,000.00","431,942,139.00"
"140,000,000.00","133,553,464.00"
"140,000,000.00","154,110,769.00"
"140,000,000.00","203,018,919.00"
"140,000,000.00","268,314,513.00"
"140,000,000.00","285,400,000.00"
"140,000,000.00","370,569,776.00"
"140,000,000.00","375,740,705.00"
"140,000,000.00","385,680,446.00"
"140,000,000.00","441,767,803.00"
"140,000,000.00","456,810,575.00"
"140,000,000.00","518,614,384.00"
"140,000,000.00","554,600,000.00"
"139,000,000.00","821,706,375.00"
"138,000,000.00","76,416,746.00"
"138,000,000.00","184,068,357.00"
"137,500,000.00","263,417,913.00"
"137,000,000.00","85,131,830.00"
"137,000,000.00","245,229,234.00"
"136,200,000.00","829,724,737.00"
"135,000,000.00","157,956,466.00"
"135,000,000.00","163,818,556.00"
"135,000,000.00","212,912,137.00"
